label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
N25,5,28.2979,22.2831,6.0148,"[4, None, 2, None, 0, 3, None, None, 2, None]","[389, 0, 265, 146, 311]","[5.9661, 0.0, 5.5835, 4.9904, 5.743]",False,
S60,6,27.9252,22.4284,5.4968,"[4, None, 2, None, 0, 3, None, 0, 2, None]","[450, 0, 265, 146, 311]","[6.1115, 0.0, 5.5835, 4.9904, 5.743]",False,
S61,6,28.0524,26.2534,1.7991,"[4, None, 2, None, 0, 3, None, 1, 2, None]","[389, 52, 265, 146, 311]","[5.9661, 3.9703, 5.5835, 4.9904, 5.743]",False,
S62,6,27.9233,22.4264,5.4968,"[4, None, 2, None, 0, 3, None, 2, 2, None]","[389, 0, 306, 146, 311]","[5.9661, 0.0, 5.7268, 4.9904, 5.743]",False,
N60,6,28.2086,22.8495,5.3591,"[4, None, 2, None, 0, 3, None, 3, 2, None]","[389, 0, 265, 258, 311]","[5.9661, 0.0, 5.5835, 5.5568, 5.743]",False,
S193,7,27.6963,23.0167,4.6796,"[4, None, 2, None, 0, 3, None, 3, 2, 0]","[460, 0, 265, 258, 311]","[6.1334, 0.0, 5.5835, 5.5568, 5.743]",False,
S194,7,28.0871,27.1261,0.961,"[4, None, 2, None, 0, 3, None, 3, 2, 1]","[389, 71, 265, 258, 311]","[5.9661, 4.2767, 5.5835, 5.5568, 5.743]",False,
P22,7,27.8621,23.1849,4.6772,"[4, None, 2, None, 0, 3, None, 3, 2, 2]","[389, 0, 371, 258, 311]","[5.9661, 0.0, 5.9189, 5.5568, 5.743]",True,אי-היתכנות EF1
P23,7,27.6805,23.0064,4.6742,"[4, None, 2, None, 0, 3, None, 3, 2, 3]","[389, 0, 265, 302, 311]","[5.9661, 0.0, 5.5835, 5.7137, 5.743]",True,אי-היתכנות EF1
S195,7,27.6887,23.0091,4.6796,"[4, None, 2, None, 0, 3, None, 3, 2, 4]","[389, 0, 265, 258, 365]","[5.9661, 0.0, 5.5835, 5.5568, 5.9026]",False,
S63,6,28.0748,22.5779,5.4968,"[4, None, 2, None, 0, 3, None, 4, 2, None]","[389, 0, 265, 146, 418]","[5.9661, 0.0, 5.5835, 4.9904, 6.0379]",False,
