m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef
30,22,33.35181276995489,3953,726,7.653236389160156e-05,True,False,33.80749622496766,4321,793,0.774090051651001,4173,1,1,True,True,True,True
30,23,33.163037237077006,3874,582,9.5367431640625e-05,True,False,33.613188065816324,4162,726,1.0480639934539795,5381,1,1,True,True,True,True
30,24,33.20890252705057,3861,611,7.43865966796875e-05,True,False,33.687237345742346,4222,766,0.46794581413269043,2469,1,1,True,True,True,True
30,25,33.38078976725298,4084,609,7.62939453125e-05,True,False,33.70262823592604,4233,808,1.8472700119018555,10060,1,1,True,True,True,True
30,26,33.39440970836765,4040,644,8.153915405273438e-05,True,False,33.39440970836765,4040,644,15.000075101852417,65025,0,0,False,False,True,False
30,27,33.58271528725461,4171,641,7.62939453125e-05,True,False,33.764709646852594,4289,788,3.000290870666504,15868,1,1,True,True,True,True
30,28,33.4195421176763,4030,614,9.226799011230469e-05,True,False,33.688647646684174,4226,756,1.0585951805114746,5878,1,1,True,True,True,True
30,29,33.36450531284964,3988,619,7.82012939453125e-05,True,False,33.71958299396648,4253,733,0.48558759689331055,2709,1,1,True,True,True,True
30,30,33.48155717377156,4055,741,8.392333984375e-05,True,False,33.736211874854554,4267,746,3.78248929977417,19997,1,1,True,True,True,True
30,31,33.19645851598968,3881,561,8.96453857421875e-05,True,False,33.64177358635475,4193,716,4.8061535358428955,25166,1,1,True,True,True,True
30,32,33.09383523270109,3769,648,7.987022399902344e-05,True,False,33.46064011097285,4033,752,0.7467517852783203,4162,1,1,True,True,True,True
30,33,33.40281008131261,4018,660,8.106231689453125e-05,True,False,33.6686984722904,4197,818,0.24837303161621094,1129,1,1,True,True,True,True
30,34,33.1222804960926,3806,618,0.00018525123596191406,True,False,33.55699177173258,4108,769,1.381408929824829,6279,1,1,True,True,True,True
30,35,33.2988388318682,3914,670,7.62939453125e-05,True,False,33.583350561876294,4129,778,2.093129873275757,10220,1,1,True,True,True,False
30,36,33.347414161917435,3996,613,7.510185241699219e-05,True,False,33.580949548947956,4128,780,1.1878769397735596,6175,1,1,True,True,True,True
30,37,33.172453741991994,3827,644,7.677078247070312e-05,True,False,33.7189251775144,4246,795,0.6513946056365967,3610,1,1,True,True,True,True
30,38,33.621462937648765,4233,561,7.653236389160156e-05,True,False,33.84508444585897,4375,791,4.738184213638306,21584,1,1,True,True,True,False
30,39,33.41988874190558,4027,625,7.486343383789062e-05,True,False,33.70536263204546,4231,796,3.172544240951538,16385,1,1,True,True,True,True
30,40,33.135568349154795,3813,603,0.00012612342834472656,True,False,33.510595636816554,4078,737,9.968700170516968,39617,1,1,True,True,True,True
30,41,33.471694650518046,4060,653,7.700920104980469e-05,True,False,33.67414271031381,4211,758,0.13265204429626465,664,1,1,True,True,True,False
30,42,33.380474510494075,4000,629,7.534027099609375e-05,True,False,33.79890493089231,4317,785,1.3000504970550537,6036,1,1,True,True,True,True
30,43,33.21602307648941,3880,611,0.00018858909606933594,True,False,33.580741195233095,4129,770,0.21697378158569336,826,1,1,True,True,True,True
30,44,33.407873146374115,4014,659,0.00012135505676269531,True,False,33.407873146374115,4014,659,15.000228643417358,62639,0,0,False,False,True,False
30,45,33.13491016044113,3805,603,7.62939453125e-05,True,False,33.5747631553525,4120,792,0.7071490287780762,3997,1,1,True,True,True,True
30,46,33.632227004101736,4199,650,0.00011157989501953125,True,False,33.7417038817693,4259,836,0.31030893325805664,1771,1,1,True,True,True,True
30,47,33.54859171427946,4137,648,7.510185241699219e-05,True,False,33.702876796791635,4231,763,0.15288090705871582,879,1,1,True,True,True,True
30,48,33.04343272057326,3761,599,8.225440979003906e-05,True,False,33.643293724682906,4183,764,0.4857292175292969,2758,1,1,True,True,True,True
30,49,33.474335145132756,4067,654,7.557868957519531e-05,True,False,33.677399869380174,4222,792,0.7203049659729004,4128,1,1,True,True,True,True
40,0,34.93174424908341,5485,874,0.00010991096496582031,True,False,34.93174424908341,5485,874,15.022441387176514,71804,0,0,False,False,True,False
40,1,35.090482137418405,5607,1019,0.00011563301086425781,True,False,35.33010854791635,5864,1039,0.29788804054260254,1688,1,1,True,True,True,True
40,2,35.03763819074887,5549,1030,0.00011944770812988281,True,False,35.03763819074887,5549,1030,15.000151634216309,73630,0,0,False,False,True,False
40,3,34.926619255080766,5434,945,0.00011348724365234375,True,False,35.260037697067084,5779,1070,0.07020258903503418,387,1,1,True,True,True,True
40,4,35.048531639684846,5560,1006,0.00011110305786132812,True,False,35.250368064866024,5762,1122,6.942672967910767,34148,1,1,True,True,True,True
40,5,35.14396767837682,5684,1043,0.00011038780212402344,True,False,35.40467531185671,5948,1104,0.27725768089294434,1592,1,1,True,True,True,True
40,6,34.964554886191664,5483,1016,0.00011038780212402344,True,False,34.964554886191664,5483,1016,15.000114679336548,75048,0,0,False,False,True,False
40,7,35.1830307259027,5706,1045,0.00011301040649414062,True,False,35.37309358240982,5908,1114,2.724855422973633,14389,1,1,True,True,True,True
40,8,35.11874970318861,5617,1042,0.00011301040649414062,True,False,35.35627691709683,5886,1130,0.05335426330566406,296,1,1,True,True,True,True
40,9,34.93602078759672,5447,859,0.00012731552124023438,True,False,34.93602078759672,5447,859,15.000027894973755,71074,0,0,False,False,True,False
40,10,34.766042355407905,5243,938,0.00011157989501953125,True,False,34.99272817411606,5488,1004,12.673916339874268,60128,1,1,True,True,True,True
40,11,34.8995378614744,5394,963,0.00011277198791503906,True,False,34.8995378614744,5394,963,15.079675436019897,69259,0,0,False,False,True,False
40,12,35.01194060439023,5515,996,0.00011348724365234375,True,False,35.301385561502585,5827,1107,0.16861224174499512,960,1,1,True,True,True,True
40,13,35.141538060860746,5654,1001,0.00011301040649414062,True,False,35.141538060860746,5654,1001,15.000219583511353,70516,0,0,False,False,True,False
40,14,35.07652633712292,5590,986,0.00011992454528808594,True,False,35.38510613948497,5923,1134,2.07959246635437,11080,1,1,True,True,True,True
40,15,35.00513309367808,5500,1038,0.00014472007751464844,True,False,35.22107025655729,5732,1078,0.8644430637359619,4706,1,1,True,True,True,True
40,16,34.99282815950364,5482,1018,0.00012183189392089844,True,False,34.99282815950364,5482,1018,15.000115871429443,73275,0,0,False,False,True,False
40,17,34.98333171102101,5492,911,0.0001690387725830078,True,False,34.98333171102101,5492,911,15.000062704086304,72011,0,0,False,False,True,False
40,18,34.957646936169155,5444,1013,0.00011205673217773438,True,False,34.957646936169155,5444,1013,15.00018310546875,68774,0,0,False,False,True,False
40,19,34.84559641382878,5339,901,0.00011610984802246094,True,False,35.11090644648584,5602,1088,3.7204463481903076,19142,1,1,True,True,True,True
40,20,34.87540562088997,5359,941,0.00011229515075683594,True,False,34.87540562088997,5359,941,15.000277280807495,71022,0,0,False,False,True,False
40,21,35.04423178200675,5561,962,0.00012254714965820312,True,True,35.29760992833964,5833,1052,4.372053623199463,21906,1,1,True,True,True,True
40,22,34.83187255537066,5323,917,0.00011301040649414062,True,False,34.83187255537066,5323,917,15.000038385391235,70422,0,0,False,False,True,False
40,23,34.785035129169465,5286,893,0.00011205673217773438,True,False,35.09811072160748,5591,1066,1.368457555770874,7392,1,1,True,True,True,True
40,24,34.99259559292065,5506,918,0.00011968612670898438,True,False,35.23097884894815,5749,1061,1.1152594089508057,6170,1,1,True,True,True,True
40,25,35.028952293785146,5519,1027,0.00011229515075683594,True,True,35.32567565024931,5850,1130,3.2799246311187744,16533,1,1,True,True,True,True
40,26,34.90251974921546,5377,1008,0.00011205673217773438,True,False,35.17068740788576,5673,1087,3.042870044708252,15858,1,1,True,True,True,True
40,27,34.86825621507426,5377,866,0.00011229515075683594,True,False,34.86825621507426,5377,866,15.000124454498291,70084,0,0,False,False,True,False
40,28,34.72139349000223,5192,949,0.00011491775512695312,True,False,34.72139349000223,5192,949,15.349132776260376,71371,0,0,False,False,True,False
40,29,34.9159420273371,5408,938,0.00011157989501953125,True,True,35.26811320828311,5790,1063,9.56384825706482,46106,1,1,True,True,True,True
40,30,35.003545217109945,5501,977,0.00011920928955078125,True,False,35.16227164514976,5664,1051,2.0960469245910645,11271,1,1,True,True,True,True
40,31,35.05299408295178,5561,958,0.00011110305786132812,True,False,35.31558864399636,5838,1104,12.079468727111816,54213,1,1,True,True,True,True
40,32,35.24920063844074,5767,1068,0.00014591217041015625,True,False,35.24920063844074,5767,1068,15.000126361846924,68372,0,0,False,False,True,False
40,33,35.057384545063876,5557,1012,0.00011467933654785156,True,True,35.057384545063876,5557,1012,15.000072002410889,71331,0,0,False,False,True,True
40,34,35.134750479000694,5634,1086,0.00011229515075683594,True,True,35.36233058711753,5900,1096,13.222143173217773,46924,1,1,True,True,True,True
40,35,34.97981113931095,5462,1041,0.0001823902130126953,True,False,34.97981113931095,5462,1041,15.000028610229492,65771,0,0,False,False,True,False
40,36,34.90475419463088,5401,988,0.00011014938354492188,True,False,34.90475419463088,5401,988,15.000088930130005,69806,0,0,False,False,True,False
40,37,35.06645667964394,5582,1004,0.0001125335693359375,True,False,35.255473282256155,5780,1030,2.855989456176758,13356,1,1,True,True,True,True
40,38,35.140772236168296,5657,1026,0.00011086463928222656,True,False,35.140772236168296,5657,1026,15.29404330253601,71892,0,0,False,False,True,False
40,39,35.09314328419497,5599,1033,0.0001533031463623047,True,True,35.26683215494249,5793,1056,0.6435039043426514,3597,1,1,True,True,True,True
40,40,34.84939487644482,5338,946,0.00012063980102539062,True,False,35.168571215059316,5669,1089,1.340489387512207,7445,1,1,True,True,True,True
40,41,35.16296514561556,5669,1070,0.00011873245239257812,True,False,35.34980193044916,5883,1068,0.37767553329467773,2108,1,1,True,True,True,True
40,42,35.03948275866528,5526,1034,0.00011086463928222656,True,True,35.201277791510236,5720,1031,2.608487844467163,13493,1,1,True,True,True,True
40,43,34.994991778182595,5488,1010,0.00010991096496582031,True,False,35.31657116277043,5860,1043,4.1016623973846436,20637,1,1,True,True,True,True
40,44,34.99129944849298,5485,963,0.000118255615234375,True,False,35.14262457988876,5642,1085,0.8165276050567627,4326,1,1,True,True,True,True
40,45,35.00379328043644,5519,885,0.00011205673217773438,True,True,35.00379328043644,5519,885,15.000185251235962,73861,0,0,False,False,True,True
