label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S93,9,28.4154,28.1883,0.2271,"[0, 2, 1, 3, 1, 2, 4, 1, None, 1]","[175, 249, 301, 357, 366]","[5.1705, 5.5215, 5.7104, 5.8805, 5.9054]",False,
S94,9,28.4597,28.2322,0.2275,"[0, 2, 2, 3, 1, 2, 4, 1, None, 1]","[175, 227, 345, 357, 366]","[5.1705, 5.4293, 5.8464, 5.8805, 5.9054]",False,
S95,9,28.4195,28.192,0.2275,"[0, 2, 3, 3, 1, 2, 4, 1, None, 1]","[175, 227, 301, 393, 366]","[5.1705, 5.4293, 5.7104, 5.9764, 5.9054]",False,
S96,9,28.387,28.1595,0.2275,"[0, 2, 4, 3, 1, 2, 4, 1, None, 1]","[175, 227, 301, 357, 390]","[5.1705, 5.4293, 5.7104, 5.8805, 5.9687]",False,
S90,8,28.4515,27.9989,0.4526,"[0, 2, None, 3, 1, 2, 4, 1, None, 2]","[175, 177, 350, 357, 366]","[5.1705, 5.1818, 5.8608, 5.8805, 5.9054]",False,
S91,8,28.3893,27.9368,0.4526,"[0, 2, None, 3, 1, 2, 4, 1, None, 3]","[175, 177, 301, 390, 366]","[5.1705, 5.1818, 5.7104, 5.9687, 5.9054]",False,
S92,8,28.4193,27.9667,0.4526,"[0, 2, None, 3, 1, 2, 4, 1, None, 4]","[175, 177, 301, 357, 412]","[5.1705, 5.1818, 5.7104, 5.8805, 6.0234]",False,
N18,7,28.525,27.7085,0.8165,"[0, 2, None, 3, 2, 2, 4, 1, None, None]","[175, 117, 395, 357, 366]","[5.1705, 4.7707, 5.9814, 5.8805, 5.9054]",False,
S64,8,28.3648,27.8561,0.5087,"[0, 2, None, 3, 2, 2, 4, 1, None, 0]","[203, 117, 395, 357, 366]","[5.3181, 4.7707, 5.9814, 5.8805, 5.9054]",False,
N19,8,28.525,28.0618,0.4632,"[0, 2, None, 3, 2, 2, 4, 1, None, 1]","[175, 167, 395, 357, 366]","[5.1705, 5.124, 5.9814, 5.8805, 5.9054]",False,
S67,9,28.5051,28.2894,0.2157,"[0, 2, 0, 3, 2, 2, 4, 1, None, 1]","[220, 167, 395, 357, 366]","[5.3982, 5.124, 5.9814, 5.8805, 5.9054]",False,
S68,9,28.4182,28.1848,0.2334,"[0, 2, 1, 3, 2, 2, 4, 1, None, 1]","[175, 189, 395, 357, 366]","[5.1705, 5.247, 5.9814, 5.8805, 5.9054]",False,
S69,9,28.4111,28.1671,0.244,"[0, 2, 2, 3, 2, 2, 4, 1, None, 1]","[175, 167, 439, 357, 366]","[5.1705, 5.124, 6.0868, 5.8805, 5.9054]",False,
S70,9,28.4016,28.1576,0.244,"[0, 2, 3, 3, 2, 2, 4, 1, None, 1]","[175, 167, 395, 393, 366]","[5.1705, 5.124, 5.9814, 5.9764, 5.9054]",False,
S71,9,28.3691,28.1251,0.244,"[0, 2, 4, 3, 2, 2, 4, 1, None, 1]","[175, 167, 395, 357, 390]","[5.1705, 5.124, 5.9814, 5.8805, 5.9687]",False,
P2,8,28.3652,27.8251,0.54,"[0, 2, None, 3, 2, 2, 4, 1, None, 2]","[175, 117, 444, 357, 366]","[5.1705, 4.7707, 6.0981, 5.8805, 5.9054]",True,אי-היתכנות EF1
S65,8,28.3367,27.7967,0.54,"[0, 2, None, 3, 2, 2, 4, 1, None, 3]","[175, 117, 395, 390, 366]","[5.1705, 4.7707, 5.9814, 5.9687, 5.9054]",False,
S66,8,28.3666,27.8266,0.54,"[0, 2, None, 3, 2, 2, 4, 1, None, 4]","[175, 117, 395, 357, 412]","[5.1705, 4.7707, 5.9814, 5.8805, 6.0234]",False,
S23,7,28.4625,27.646,0.8165,"[0, 2, None, 3, 3, 2, 4, 1, None, None]","[175, 117, 301, 440, 366]","[5.1705, 4.7707, 5.7104, 6.089, 5.9054]",False,
S24,7,28.4399,27.6234,0.8165,"[0, 2, None, 3, 4, 2, 4, 1, None, None]","[175, 117, 301, 357, 441]","[5.1705, 4.7707, 5.7104, 5.8805, 6.0913]",False,
N13,6,28.5355,27.2981,1.2374,"[0, 3, None, 3, None, 2, 4, 1, None, None]","[175, 117, 197, 474, 366]","[5.1705, 4.7707, 5.2883, 6.1633, 5.9054]",False,
S42,7,28.2992,27.5029,0.7963,"[0, 3, None, 3, 0, 2, 4, 1, None, None]","[215, 117, 197, 474, 366]","[5.3753, 4.7707, 5.2883, 6.1633, 5.9054]",False,
S43,7,28.3916,27.7092,0.6824,"[0, 3, None, 3, 1, 2, 4, 1, None, None]","[175, 177, 197, 474, 366]","[5.1705, 5.1818, 5.2883, 6.1633, 5.9054]",False,
S44,7,28.5031,27.6866,0.8165,"[0, 3, None, 3, 2, 2, 4, 1, None, None]","[175, 117, 291, 474, 366]","[5.1705, 4.7707, 5.6768, 6.1633, 5.9054]",False,
S45,7,28.2803,27.4592,0.8212,"[0, 3, None, 3, 3, 2, 4, 1, None, None]","[175, 117, 197, 557, 366]","[5.1705, 4.7707, 5.2883, 6.3244, 5.9054]",False,
S46,7,28.3052,27.4841,0.8212,"[0, 3, None, 3, 4, 2, 4, 1, None, None]","[175, 117, 197, 474, 441]","[5.1705, 4.7707, 5.2883, 6.1633, 6.0913]",False,
S21,6,28.3635,27.1261,1.2374,"[0, 4, None, 3, None, 2, 4, 1, None, None]","[175, 117, 197, 357, 409]","[5.1705, 4.7707, 5.2883, 5.8805, 6.0162]",False,
N27,5,28.5147,22.5585,5.9562,"[0, None, None, 3, None, 2, 4, 2, None, None]","[175, 0, 270, 357, 366]","[5.1705, 0.0, 5.6021, 5.8805, 5.9054]",False,
S101,6,28.2008,22.8811,5.3197,"[0, 0, None, 3, None, 2, 4, 2, None, None]","[242, 0, 270, 357, 366]","[5.4931, 0.0, 5.6021, 5.8805, 5.9054]",False,
S102,6,28.3416,26.807,1.5346,"[0, 1, None, 3, None, 2, 4, 2, None, None]","[175, 69, 270, 357, 366]","[5.1705, 4.2485, 5.6021, 5.8805, 5.9054]",False,
P3,6,28.288,22.8833,5.4047,"[0, 2, None, 3, None, 2, 4, 2, None, None]","[175, 0, 374, 357, 366]","[5.1705, 0.0, 5.9269, 5.8805, 5.9054]",True,אי-היתכנות EF1
S103,6,28.246,22.8413,5.4047,"[0, 3, None, 3, None, 2, 4, 2, None, None]","[175, 0, 270, 474, 366]","[5.1705, 0.0, 5.6021, 6.1633, 5.9054]",False,
