m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,rr_player_order
20,36,31.09316717339197,2598,329,4.2438507080078125e-05,31.65191974046528,2807,513,0.0172593593597412,131,1,1,True,True,True,"[1, 4, 2, 0, 3]"
20,37,31.3653392020974,2762,334,4.172325134277344e-05,31.826046901677213,2920,499,0.4466750621795654,3281,1,1,True,True,True,"[3, 2, 1, 4, 0]"
20,38,31.260404650931378,2720,303,4.291534423828125e-05,31.63729561928234,2816,440,2.174755334854126,12829,1,1,True,True,True,"[4, 3, 0, 1, 2]"
20,39,30.96674102813109,2511,329,4.315376281738281e-05,31.65430725946166,2826,463,0.1604509353637695,1190,1,1,True,True,True,"[1, 0, 2, 4, 3]"
20,40,31.207722947620983,2640,372,4.2438507080078125e-05,31.677658083795407,2829,473,0.0290119647979736,224,1,1,True,True,True,"[1, 2, 4, 0, 3]"
20,41,30.88818489794337,2495,324,4.1961669921875e-05,31.52945565992743,2759,469,0.0910382270812988,699,1,1,True,True,True,"[2, 3, 1, 0, 4]"
20,42,31.14970913292148,2617,376,4.267692565917969e-05,31.75225127590644,2864,534,0.1106894016265869,851,1,1,True,True,True,"[2, 4, 1, 3, 0]"
20,43,30.821448426850417,2457,351,4.696846008300781e-05,31.75774467347945,2873,504,0.0095205307006835,75,1,1,True,True,True,"[4, 2, 3, 1, 0]"
20,44,31.150039168168394,2622,362,4.0531158447265625e-05,31.919378505884847,3003,468,0.0848278999328613,675,1,1,True,True,True,"[4, 2, 3, 1, 0]"
20,45,31.275469219948118,2680,368,4.315376281738281e-05,31.68430153621924,2828,492,2.565203905105591,17361,1,1,True,True,True,"[4, 3, 2, 1, 0]"
20,46,31.41876837093288,2770,354,5.125999450683594e-05,31.838540064049347,2915,523,0.0177278518676757,138,1,1,True,True,True,"[2, 3, 1, 4, 0]"
20,47,30.983615460689396,2530,347,4.076957702636719e-05,31.55035349698207,2762,463,0.0086393356323242,69,1,1,True,True,True,"[2, 3, 1, 0, 4]"
20,48,31.06277281889595,2548,364,4.029273986816406e-05,31.66961324130313,2814,537,1.1337764263153076,7920,1,1,True,True,True,"[1, 0, 2, 3, 4]"
20,49,31.15282531765256,2619,324,4.315376281738281e-05,31.592759586640582,2788,470,0.0363318920135498,268,1,1,True,True,True,"[1, 0, 2, 3, 4]"
30,0,33.35571885238553,3987,585,0.0001170635223388,33.640747201260304,4183,761,2.0489416122436523,14092,1,1,True,True,True,"[2, 3, 4, 0, 1]"
30,1,33.471228629241374,4057,725,6.341934204101562e-05,33.62319928594772,4172,729,0.5567977428436279,4089,1,1,True,True,True,"[3, 0, 1, 2, 4]"
30,2,33.473547934966646,4085,597,6.532669067382812e-05,33.68782851857357,4215,798,0.1088871955871582,789,1,1,True,True,True,"[3, 1, 4, 2, 0]"
30,3,33.25269163495384,3898,639,6.318092346191406e-05,33.61680098798506,4158,764,0.707834005355835,5212,1,1,True,True,True,"[0, 2, 3, 4, 1]"
30,4,33.17027962322131,3828,636,6.341934204101562e-05,33.41768756347872,4000,722,2.8852698802948,18645,1,1,True,True,True,"[4, 0, 1, 3, 2]"
30,5,33.364800420975044,3991,658,7.43865966796875e-05,33.741559798080004,4264,777,0.3851001262664795,2735,1,1,True,True,True,"[4, 0, 1, 2, 3]"
30,6,33.22879113455488,3876,624,7.05718994140625e-05,33.58192843736828,4127,785,0.4218113422393799,2956,1,1,True,True,True,"[3, 1, 2, 0, 4]"
30,7,33.40678345802444,4060,575,6.389617919921875e-05,33.70373346722042,4237,769,0.7914078235626221,5636,1,1,True,True,True,"[4, 1, 2, 3, 0]"
30,8,33.09396625555203,3776,630,6.461143493652344e-05,33.6435227418779,4183,749,0.0643157958984375,485,1,1,True,True,True,"[4, 3, 2, 1, 0]"
30,9,33.472944689506214,4062,658,6.246566772460938e-05,33.83582214422795,4355,790,0.501903772354126,3668,1,1,True,True,True,"[4, 3, 2, 1, 0]"
30,10,33.16655373264384,3820,608,0.0001072883605957,33.4922145308561,4057,725,1.6104822158813477,9987,1,1,True,True,True,"[0, 1, 2, 4, 3]"
30,11,33.161383543961215,3845,563,0.0001177787780761,33.587726797735485,4139,755,0.0599241256713867,392,1,1,True,True,True,"[3, 1, 0, 4, 2]"
30,12,33.38913382600873,4002,636,6.818771362304688e-05,33.67430036182553,4204,783,0.5266392230987549,3138,1,1,True,True,True,"[2, 3, 0, 4, 1]"
30,13,33.56356005691217,4160,615,6.389617919921875e-05,33.81651945895596,4327,826,0.6053712368011475,3317,1,1,True,True,True,"[2, 1, 0, 3, 4]"
30,14,33.4942627833822,4070,681,9.179115295410156e-05,33.69488207295194,4223,783,1.1527726650238037,5780,1,1,True,True,True,"[0, 1, 2, 4, 3]"
30,15,33.0798065634115,3756,629,6.67572021484375e-05,33.58612403161359,4138,772,1.8956658840179443,11901,1,1,True,True,True,"[3, 4, 0, 1, 2]"
30,16,33.36256174622646,3982,656,6.341934204101562e-05,33.72256459478837,4249,773,0.5520148277282715,3923,1,1,True,True,True,"[3, 4, 2, 0, 1]"
30,17,33.525409642782506,4107,649,0.0001068115234375,33.7324994316806,4276,753,1.1457116603851318,7752,1,1,True,True,True,"[3, 2, 4, 1, 0]"
30,18,33.21662952847649,3865,589,6.437301635742188e-05,33.609099874245295,4158,754,0.4986560344696045,3587,1,1,True,True,True,"[1, 0, 2, 3, 4]"
30,19,33.36637090178806,4004,601,6.914138793945312e-05,33.65585346323393,4215,740,0.9759118556976318,6854,1,1,True,True,True,"[2, 4, 3, 1, 0]"
30,20,33.342534324657855,3948,703,6.914138793945312e-05,33.66263878003028,4213,766,5.4928059577941895,30731,1,1,True,True,True,"[4, 1, 2, 0, 3]"
30,21,33.22716143120532,3869,649,6.413459777832031e-05,33.520721015688025,4082,739,2.5292322635650635,17872,1,1,True,True,True,"[3, 4, 1, 2, 0]"
30,22,33.35181276995489,3953,726,7.009506225585938e-05,33.80749622496766,4321,793,0.5591936111450195,4173,1,1,True,True,True,"[1, 4, 0, 3, 2]"
30,23,33.163037237077006,3874,582,6.461143493652344e-05,33.613188065816324,4162,726,0.7044947147369385,5381,1,1,True,True,True,"[0, 2, 1, 4, 3]"
30,24,33.20890252705057,3861,611,6.985664367675781e-05,33.687237345742346,4222,766,0.3293893337249756,2469,1,1,True,True,True,"[2, 4, 3, 0, 1]"
30,25,33.38078976725298,4084,609,6.461143493652344e-05,33.70262823592604,4233,808,1.4130353927612305,10060,1,1,True,True,True,"[0, 1, 4, 2, 3]"
30,26,33.39440970836765,4040,644,6.508827209472656e-05,33.39440970836765,4040,644,15.227622509002686,81005,0,0,False,False,True,"[3, 1, 4, 2, 0]"
30,27,33.58271528725461,4171,641,0.0001041889190673,33.764709646852594,4289,788,2.134237766265869,15868,1,1,True,True,True,"[1, 2, 0, 3, 4]"
30,28,33.4195421176763,4030,614,6.341934204101562e-05,33.688647646684174,4226,756,0.7724545001983643,5878,1,1,True,True,True,"[1, 4, 3, 0, 2]"
30,29,33.36450531284964,3988,619,6.890296936035156e-05,33.71958299396648,4253,733,0.3664424419403076,2709,1,1,True,True,True,"[4, 1, 3, 2, 0]"
30,30,33.48155717377156,4055,741,6.270408630371094e-05,33.736211874854554,4267,746,2.876286029815674,19997,1,1,True,True,True,"[4, 0, 3, 1, 2]"
30,31,33.19645851598968,3881,561,6.508827209472656e-05,33.64177358635475,4193,716,3.579092502593994,25166,1,1,True,True,True,"[2, 3, 4, 0, 1]"
30,32,33.09383523270109,3769,648,6.842613220214844e-05,33.46064011097285,4033,752,0.5639529228210449,4162,1,1,True,True,True,"[3, 1, 4, 0, 2]"
30,33,33.40281008131261,4018,660,0.0001068115234375,33.6686984722904,4197,818,0.1488790512084961,1129,1,1,True,True,True,"[3, 2, 4, 0, 1]"
30,34,33.1222804960926,3806,618,6.389617919921875e-05,33.55699177173258,4108,769,0.8667001724243164,6279,1,1,True,True,True,"[4, 2, 0, 3, 1]"
30,35,33.2988388318682,3914,670,6.461143493652344e-05,33.583350561876294,4129,778,1.4675207138061523,10220,1,1,True,True,True,"[4, 3, 2, 0, 1]"
30,36,33.347414161917435,3996,613,6.413459777832031e-05,33.58094954894796,4128,780,0.9129257202148438,6175,1,1,True,True,True,"[1, 2, 4, 0, 3]"
30,37,33.172453741991994,3827,644,6.437301635742188e-05,33.7189251775144,4246,795,0.5481231212615967,3610,1,1,True,True,True,"[2, 4, 0, 1, 3]"
30,38,33.621462937648765,4233,561,0.0001313686370849,33.84508444585897,4375,791,3.30329704284668,21584,1,1,True,True,True,"[2, 1, 3, 0, 4]"
30,39,33.41988874190558,4027,625,6.985664367675781e-05,33.70536263204546,4231,796,2.37183141708374,16385,1,1,True,True,True,"[0, 3, 1, 2, 4]"
30,40,33.135568349154795,3813,603,6.723403930664062e-05,33.510595636816554,4078,737,5.881937503814697,39617,1,1,True,True,True,"[2, 1, 4, 3, 0]"
30,41,33.471694650518046,4060,653,7.05718994140625e-05,33.67414271031381,4211,758,0.1039397716522216,664,1,1,True,True,True,"[1, 2, 0, 3, 4]"
30,42,33.380474510494075,4000,629,6.461143493652344e-05,33.79890493089231,4317,785,0.8779685497283936,6036,1,1,True,True,True,"[1, 0, 2, 3, 4]"
30,43,33.21602307648941,3880,611,6.890296936035156e-05,33.580741195233095,4129,770,0.1078319549560546,826,1,1,True,True,True,"[2, 1, 4, 3, 0]"
30,44,33.407873146374115,4014,659,6.890296936035156e-05,33.407873146374115,4014,659,15.000268697738647,79860,0,0,False,False,True,"[2, 0, 3, 1, 4]"
30,45,33.13491016044113,3805,603,6.318092346191406e-05,33.5747631553525,4120,792,0.5455820560455322,3997,1,1,True,True,True,"[3, 0, 1, 2, 4]"
30,46,33.632227004101736,4199,650,6.270408630371094e-05,33.7417038817693,4259,836,0.2462825775146484,1771,1,1,True,True,True,"[1, 0, 4, 2, 3]"
30,47,33.54859171427946,4137,648,6.246566772460938e-05,33.702876796791635,4231,763,0.1169068813323974,879,1,1,True,True,True,"[4, 1, 0, 3, 2]"
30,48,33.04343272057326,3761,599,6.198883056640625e-05,33.643293724682906,4183,764,0.3709039688110351,2758,1,1,True,True,True,"[2, 4, 3, 1, 0]"
30,49,33.47433514513276,4067,654,6.651878356933594e-05,33.677399869380174,4222,792,0.5562286376953125,4128,1,1,True,True,True,"[1, 3, 4, 0, 2]"
40,0,34.93174424908341,5485,874,8.940696716308594e-05,34.93174424908341,5485,874,15.000139474868774,92640,0,0,False,False,True,"[2, 0, 4, 1, 3]"
40,1,35.090482137418405,5607,1019,8.988380432128906e-05,35.33010854791635,5864,1039,0.2373244762420654,1688,1,1,True,True,True,"[3, 0, 2, 4, 1]"
40,2,35.03763819074887,5549,1030,9.012222290039062e-05,35.03763819074887,5549,1030,15.000050783157349,93293,0,0,False,False,True,"[0, 1, 3, 4, 2]"
40,3,34.926619255080766,5434,945,0.0001025199890136,35.260037697067084,5779,1070,0.0705463886260986,387,1,1,True,True,True,"[1, 4, 0, 3, 2]"
40,4,35.048531639684846,5560,1006,8.988380432128906e-05,35.250368064866024,5762,1122,5.547945976257324,34148,1,1,True,True,True,"[4, 2, 1, 0, 3]"
40,5,35.14396767837682,5684,1043,0.0001196861267089,35.40467531185671,5948,1104,0.2173867225646972,1592,1,1,True,True,True,"[2, 0, 1, 3, 4]"
40,6,34.964554886191664,5483,1016,8.96453857421875e-05,34.964554886191664,5483,1016,15.234002113342283,85856,0,0,False,False,True,"[4, 3, 1, 0, 2]"
40,7,35.1830307259027,5706,1045,9.250640869140624e-05,35.37309358240982,5908,1114,2.032348155975342,14389,1,1,True,True,True,"[1, 3, 4, 2, 0]"
40,8,35.11874970318861,5617,1042,9.322166442871094e-05,35.35627691709683,5886,1130,0.0407423973083496,296,1,1,True,True,True,"[4, 3, 2, 1, 0]"
40,9,34.93602078759672,5447,859,0.0001106262207031,34.93602078759672,5447,859,15.000099658966064,86948,0,0,False,False,True,"[3, 4, 1, 0, 2]"
