m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef,rr_player_order
20,34,31.188655095323675,2657,359,4.8160552978515625e-05,True,False,31.789408935667392,2896,504,0.3129723072052002,1765,1,1,True,True,True,False,"[3, 1, 4, 0, 2]"
20,35,31.32515976999431,2735,331,6.151199340820312e-05,True,False,31.64379835751479,2833,490,0.4973795413970947,2837,1,1,True,True,True,False,"[0, 2, 1, 3, 4]"
20,36,31.09316717339197,2598,329,4.935264587402344e-05,True,False,31.65191974046528,2807,513,0.0229792594909667,131,1,1,True,True,True,False,"[1, 4, 2, 0, 3]"
20,37,31.3653392020974,2762,334,4.76837158203125e-05,True,False,31.826046901677213,2920,499,0.5739700794219971,3281,1,1,True,True,True,False,"[3, 2, 1, 4, 0]"
20,38,31.260404650931378,2720,303,4.863739013671875e-05,True,False,31.63729561928234,2816,440,2.7154111862182617,12829,1,1,True,True,True,False,"[4, 3, 0, 1, 2]"
20,39,30.96674102813109,2511,329,5.555152893066406e-05,True,False,31.65430725946166,2826,463,0.2017049789428711,1190,1,1,True,True,True,False,"[1, 0, 2, 4, 3]"
20,40,31.207722947620983,2640,372,4.9591064453125e-05,True,False,31.677658083795407,2829,473,0.0375995635986328,224,1,1,True,True,True,False,"[1, 2, 4, 0, 3]"
20,41,30.88818489794337,2495,324,4.792213439941406e-05,True,False,31.52945565992743,2759,469,0.1236467361450195,699,1,1,True,True,True,False,"[2, 3, 1, 0, 4]"
20,42,31.14970913292148,2617,376,8.511543273925781e-05,True,False,31.75225127590644,2864,534,0.1576714515686035,851,1,1,True,True,True,False,"[2, 4, 1, 3, 0]"
20,43,30.821448426850417,2457,351,4.8160552978515625e-05,True,False,31.75774467347945,2873,504,0.0127646923065185,75,1,1,True,True,True,False,"[4, 2, 3, 1, 0]"
20,44,31.150039168168394,2622,362,4.673004150390625e-05,True,False,31.919378505884847,3003,468,0.1144020557403564,675,1,1,True,True,True,False,"[4, 2, 3, 1, 0]"
20,45,31.275469219948118,2680,368,4.839897155761719e-05,True,False,31.68430153621924,2828,492,3.45784068107605,17361,1,1,True,True,True,True,"[4, 3, 2, 1, 0]"
20,46,31.41876837093288,2770,354,5.030632019042969e-05,True,False,31.838540064049347,2915,523,0.0243356227874755,138,1,1,True,True,True,True,"[2, 3, 1, 4, 0]"
20,47,30.983615460689396,2530,347,4.8160552978515625e-05,True,False,31.55035349698207,2762,463,0.0119271278381347,69,1,1,True,True,True,False,"[2, 3, 1, 0, 4]"
20,48,31.06277281889595,2548,364,4.982948303222656e-05,True,False,31.66961324130313,2814,537,1.4186391830444336,7920,1,1,True,True,True,False,"[1, 0, 2, 3, 4]"
20,49,31.15282531765256,2619,324,7.534027099609375e-05,True,False,31.592759586640582,2788,470,0.0472879409790039,268,1,1,True,True,True,True,"[1, 0, 2, 3, 4]"
30,0,33.35571885238553,3987,585,0.0001130104064941,True,False,33.640747201260304,4183,761,2.5406503677368164,14092,1,1,True,True,True,True,"[2, 3, 4, 0, 1]"
30,1,33.471228629241374,4057,725,7.605552673339844e-05,True,False,33.62319928594772,4172,729,0.7187759876251221,4089,1,1,True,True,True,True,"[3, 0, 1, 2, 4]"
30,2,33.473547934966646,4085,597,7.677078247070312e-05,True,False,33.68782851857357,4215,798,0.1401185989379882,789,1,1,True,True,True,True,"[3, 1, 4, 2, 0]"
30,3,33.25269163495384,3898,639,7.462501525878906e-05,True,False,33.61680098798506,4158,764,0.9229834079742432,5212,1,1,True,True,True,True,"[0, 2, 3, 4, 1]"
30,4,33.17027962322131,3828,636,7.462501525878906e-05,True,False,33.41768756347872,4000,722,3.720568180084229,18645,1,1,True,True,True,True,"[4, 0, 1, 3, 2]"
30,5,33.364800420975044,3991,658,7.82012939453125e-05,True,False,33.741559798080004,4264,777,0.4800038337707519,2735,1,1,True,True,True,True,"[4, 0, 1, 2, 3]"
30,6,33.22879113455488,3876,624,7.534027099609375e-05,True,False,33.58192843736828,4127,785,0.5316994190216064,2956,1,1,True,True,True,True,"[3, 1, 2, 0, 4]"
30,7,33.40678345802444,4060,575,0.0001082420349121,True,False,33.70373346722042,4237,769,1.0101866722106934,5636,1,1,True,True,True,True,"[4, 1, 2, 3, 0]"
30,8,33.09396625555203,3776,630,7.581710815429688e-05,True,False,33.6435227418779,4183,749,0.0842843055725097,485,1,1,True,True,True,True,"[4, 3, 2, 1, 0]"
30,9,33.472944689506214,4062,658,7.82012939453125e-05,True,False,33.83582214422795,4355,790,0.6516234874725342,3668,1,1,True,True,True,False,"[4, 3, 2, 1, 0]"
30,10,33.16655373264384,3820,608,7.510185241699219e-05,True,False,33.4922145308561,4057,725,1.7935736179351809,9987,1,1,True,True,True,True,"[0, 1, 2, 4, 3]"
30,11,33.161383543961215,3845,563,8.511543273925781e-05,True,False,33.587726797735485,4139,755,0.0697276592254638,392,1,1,True,True,True,True,"[3, 1, 0, 4, 2]"
30,12,33.38913382600873,4002,636,8.797645568847656e-05,True,False,33.67430036182553,4204,783,0.5708153247833252,3138,1,1,True,True,True,True,"[2, 3, 0, 4, 1]"
30,13,33.56356005691217,4160,615,7.82012939453125e-05,True,False,33.81651945895596,4327,826,0.5866727828979492,3317,1,1,True,True,True,True,"[2, 1, 0, 3, 4]"
30,14,33.4942627833822,4070,681,7.557868957519531e-05,True,False,33.69488207295194,4223,783,1.045801877975464,5780,1,1,True,True,True,False,"[0, 1, 2, 4, 3]"
30,15,33.0798065634115,3756,629,7.581710815429688e-05,True,False,33.58612403161359,4138,772,2.196402072906494,11901,1,1,True,True,True,True,"[3, 4, 0, 1, 2]"
30,16,33.36256174622646,3982,656,7.700920104980469e-05,True,False,33.72256459478837,4249,773,0.6807329654693604,3923,1,1,True,True,True,True,"[3, 4, 2, 0, 1]"
30,17,33.525409642782506,4107,649,7.677078247070312e-05,True,False,33.7324994316806,4276,753,1.4215714931488037,7752,1,1,True,True,True,True,"[3, 2, 4, 1, 0]"
30,18,33.21662952847649,3865,589,7.939338684082031e-05,True,False,33.609099874245295,4158,754,0.6401853561401367,3587,1,1,True,True,True,True,"[1, 0, 2, 3, 4]"
30,19,33.36637090178806,4004,601,7.534027099609375e-05,True,True,33.65585346323393,4215,740,1.233452081680298,6854,1,1,True,True,True,True,"[2, 4, 3, 1, 0]"
30,20,33.342534324657855,3948,703,7.653236389160156e-05,True,False,33.66263878003028,4213,766,6.5328779220581055,30731,1,1,True,True,True,True,"[4, 1, 2, 0, 3]"
30,21,33.22716143120532,3869,649,7.605552673339844e-05,True,False,33.520721015688025,4082,739,3.396562337875366,17872,1,1,True,True,True,True,"[3, 4, 1, 2, 0]"
30,22,33.35181276995489,3953,726,7.653236389160156e-05,True,False,33.80749622496766,4321,793,0.774090051651001,4173,1,1,True,True,True,True,"[1, 4, 0, 3, 2]"
30,23,33.163037237077006,3874,582,9.5367431640625e-05,True,False,33.613188065816324,4162,726,1.0480639934539795,5381,1,1,True,True,True,True,"[0, 2, 1, 4, 3]"
30,24,33.20890252705057,3861,611,7.43865966796875e-05,True,False,33.687237345742346,4222,766,0.4679458141326904,2469,1,1,True,True,True,True,"[2, 4, 3, 0, 1]"
30,25,33.38078976725298,4084,609,7.62939453125e-05,True,False,33.70262823592604,4233,808,1.8472700119018557,10060,1,1,True,True,True,True,"[0, 1, 4, 2, 3]"
30,26,33.39440970836765,4040,644,8.153915405273438e-05,True,False,33.39440970836765,4040,644,15.000075101852415,65025,0,0,False,False,True,False,"[3, 1, 4, 2, 0]"
30,27,33.58271528725461,4171,641,7.62939453125e-05,True,False,33.764709646852594,4289,788,3.000290870666504,15868,1,1,True,True,True,True,"[1, 2, 0, 3, 4]"
30,28,33.4195421176763,4030,614,9.226799011230467e-05,True,False,33.688647646684174,4226,756,1.0585951805114746,5878,1,1,True,True,True,True,"[1, 4, 3, 0, 2]"
30,29,33.36450531284964,3988,619,7.82012939453125e-05,True,False,33.71958299396648,4253,733,0.4855875968933105,2709,1,1,True,True,True,True,"[4, 1, 3, 2, 0]"
30,30,33.48155717377156,4055,741,8.392333984375e-05,True,False,33.736211874854554,4267,746,3.78248929977417,19997,1,1,True,True,True,True,"[4, 0, 3, 1, 2]"
30,31,33.19645851598968,3881,561,8.96453857421875e-05,True,False,33.64177358635475,4193,716,4.806153535842896,25166,1,1,True,True,True,True,"[2, 3, 4, 0, 1]"
30,32,33.09383523270109,3769,648,7.987022399902344e-05,True,False,33.46064011097285,4033,752,0.7467517852783203,4162,1,1,True,True,True,True,"[3, 1, 4, 0, 2]"
30,33,33.40281008131261,4018,660,8.106231689453125e-05,True,False,33.6686984722904,4197,818,0.2483730316162109,1129,1,1,True,True,True,True,"[3, 2, 4, 0, 1]"
30,34,33.1222804960926,3806,618,0.0001852512359619,True,False,33.55699177173258,4108,769,1.381408929824829,6279,1,1,True,True,True,True,"[4, 2, 0, 3, 1]"
30,35,33.2988388318682,3914,670,7.62939453125e-05,True,False,33.583350561876294,4129,778,2.093129873275757,10220,1,1,True,True,True,False,"[4, 3, 2, 0, 1]"
