m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1
20,20,30.88484001829819,2439,370,4.315376281738281e-05,31.587882293273786,2805,469,0.019707918167114258,154,1,1,True,True,True
20,21,31.263478700435822,2660,350,4.1961669921875e-05,31.626036143896734,2816,421,0.07619094848632812,499,1,1,True,True,True
20,22,31.002749206102525,2537,357,4.267692565917969e-05,31.70947264143436,2844,514,0.1218252182006836,925,1,1,True,True,True
20,23,31.095147228626182,2600,333,6.008148193359375e-05,31.771860960311535,2894,478,0.05177021026611328,314,1,1,True,True,True
20,24,31.42927687962831,2804,366,0.00011777877807617188,31.748708802292015,2878,507,0.35840821266174316,2634,1,1,True,True,True
20,25,31.14362627032019,2620,385,8.344650268554688e-05,31.844299555395544,2921,537,0.2573511600494385,1925,1,1,True,True,True
20,26,31.215672230980793,2654,350,4.220008850097656e-05,31.690601432996004,2828,527,0.1108255386352539,835,1,1,True,True,True
20,27,31.15561448844372,2611,342,4.1961669921875e-05,31.955126183652396,2990,513,0.017232894897460938,138,1,1,True,True,True
20,28,31.09851646798925,2612,345,4.1484832763671875e-05,31.83359346492642,2917,513,0.13005542755126953,979,1,1,True,True,True
20,29,31.34334446862271,2736,370,4.673004150390625e-05,31.80808220873836,2915,472,0.09867238998413086,717,1,1,True,True,True
20,30,31.09657377655095,2581,338,7.915496826171875e-05,31.76764352779648,2874,530,0.01706981658935547,132,1,1,True,True,True
20,31,31.29690037189255,2677,341,4.792213439941406e-05,31.728864380494137,2861,483,0.13132381439208984,999,1,1,True,True,True
20,32,31.220558561501807,2643,383,4.1961669921875e-05,31.69219915926858,2842,465,0.026631832122802734,214,1,1,True,True,True
20,33,31.199051707984175,2629,342,4.172325134277344e-05,31.828827056578675,2969,448,0.030086994171142578,246,1,1,True,True,True
20,34,31.188655095323675,2657,359,8.296966552734375e-05,31.789408935667392,2896,504,0.23809099197387695,1765,1,1,True,True,True
20,35,31.32515976999431,2735,331,4.458427429199219e-05,31.64379835751479,2833,490,0.3839561939239502,2837,1,1,True,True,True
20,36,31.093167173391972,2598,329,4.2438507080078125e-05,31.651919740465278,2807,513,0.01725935935974121,131,1,1,True,True,True
20,37,31.365339202097402,2762,334,4.172325134277344e-05,31.826046901677213,2920,499,0.44667506217956543,3281,1,1,True,True,True
20,38,31.260404650931378,2720,303,4.291534423828125e-05,31.63729561928234,2816,440,2.174755334854126,12829,1,1,True,True,True
20,39,30.96674102813109,2511,329,4.315376281738281e-05,31.65430725946166,2826,463,0.16045093536376953,1190,1,1,True,True,True
20,40,31.207722947620983,2640,372,4.2438507080078125e-05,31.677658083795407,2829,473,0.029011964797973633,224,1,1,True,True,True
20,41,30.88818489794337,2495,324,4.1961669921875e-05,31.52945565992743,2759,469,0.09103822708129883,699,1,1,True,True,True
20,42,31.14970913292148,2617,376,4.267692565917969e-05,31.752251275906442,2864,534,0.11068940162658691,851,1,1,True,True,True
20,43,30.821448426850417,2457,351,4.696846008300781e-05,31.75774467347945,2873,504,0.009520530700683594,75,1,1,True,True,True
20,44,31.150039168168394,2622,362,4.0531158447265625e-05,31.919378505884847,3003,468,0.08482789993286133,675,1,1,True,True,True
20,45,31.275469219948114,2680,368,4.315376281738281e-05,31.68430153621924,2828,492,2.565203905105591,17361,1,1,True,True,True
20,46,31.41876837093288,2770,354,5.125999450683594e-05,31.838540064049347,2915,523,0.01772785186767578,138,1,1,True,True,True
20,47,30.983615460689393,2530,347,4.076957702636719e-05,31.55035349698207,2762,463,0.008639335632324219,69,1,1,True,True,True
20,48,31.06277281889595,2548,364,4.029273986816406e-05,31.66961324130313,2814,537,1.1337764263153076,7920,1,1,True,True,True
20,49,31.152825317652557,2619,324,4.315376281738281e-05,31.592759586640582,2788,470,0.036331892013549805,268,1,1,True,True,True
